name,mid,weight
Red Hot Chili Peppers,/m/06mj4,90734.0
Bob Seger,/m/01pbxb,89639.0
Surjit Bindrakhia,/m/01ryns0,89060.0
The Beach Boys,/m/01fl3,88269.0
Kendrick Lamar,/m/0g9x698,87586.0
Ricky Martin,/m/01w61th,86710.0
Garth Brooks,/m/036px,86519.0
Boyz II Men,/m/015bwt,86464.0
Zac Brown Band,/m/0408z4w,86143.0
Future,/m/0hhwdgn,85241.0
Keith Richards,/m/014q2g,85121.0
Lady Antebellum,/m/049fvbf,84367.0
Imagine Dragons,/m/0dr_0tw,83821.0
Pharrell Williams,/m/04mn81,83618.0
Jon Bon Jovi,/m/01vw87c,83407.0
Neil Diamond,/m/015_30,83376.0
Bridgit Mendler,/m/04081f3,83058.0
Bruce Springsteen,/m/0gcs9,82805.0
Altaf Raja,/m/02pxq_s,82232.0
Kunal Ganjawala,/m/01vjpb4,81990.0
Tom Kenny,/m/01lly5,81342.0
Bob Kevoian,/m/04ktrz,81024.0
Jessie J,/m/0ds7zj1,80701.0
Jah Wobble,/m/01w3r5y,80538.0
Tupac Shakur,/m/07pzc,79290.0
Kailash Kher,/m/0dkbr4,79137.0
Aerosmith,/m/0134pk,79004.0
Brantley Gilbert,/m/0ch47pk,78701.0
Lana Del Rey,/m/0h62t_s,78366.0
Snoop Dogg,/m/01vw8mh,77948.0
Keith Urban,/m/05cljf,77928.0
Robin Gibb,/m/0137hn,77666.0
Joe Diffie,/m/051m56,76199.0
Jay-Z,/m/01vw20h,75931.0
Gippy Grewal,/m/076ypgv,75538.0
Dhilip Varman,/m/0h7pxvb,75200.0
Kid Rock,/m/01vw20_,75109.0
Alan Jackson,/m/016c8l,74582.0
Toby Keith,/m/01k_n63,74272.0
Paramore,/m/09lwrt,74026.0
The Wanted,/m/0cc544j,73894.0
Shahrukh Khan,/m/01zh29,73293.0
Van Morrison,/m/01wp8w7,73032.0
Arijit Singh,/m/08hr72,73028.0
Creedence Clearwater Revival,/m/012lfr,72280.0
Pink Floyd,/m/01wv9xn,72022.0
David Guetta,/m/0840vq,71915.0
Amrinder Gill,/m/01skr3t,71872.0
Mukesh,/m/01p1mmg,71736.0
Fall Out Boy,/m/052z_y,70951.0
John Cena,/m/01ypx5,70730.0
Crazy Frog,/m/09jgvk,70584.0
Nirvana,/m/0b1zz,70506.0
Jason Mraz,/m/0259r0,69652.0
Lionel Richie,/m/016vqk,69602.0
Ariana Grande,/m/09gkdy4,69348.0
Tom Petty and the Heartbreakers,/m/0gr69,69339.0
Hillsong Music,/m/059k6b,69161.0
Meat Loaf,/m/01vvybv,69157.0
Tom Petty,/m/0fq117k,69071.0
