total_weight,filled_weight,filled_entities,unsupported_entities,empty_weight,empty_entities,mid,coverage
43201,0,0,0,43201,1,/m/0ndskr8,0
42814,0,0,0,42814,1,/g/121d1tr4,0
42717,0,0,0,42717,1,/m/0h96rwf,0
42099,0,0,0,42099,1,/m/0h7q7b,0
40706,7111,0,0,33595,1,/m/021m7h,0.174691692
40268,0,0,0,40268,1,/m/0479b,0
39719,0,0,0,39719,1,/m/044mfr,0
39441,0,0,0,39441,1,/m/011zd3,0
38135,0,0,0,38135,1,/m/02tn8j,0
37381,0,0,0,37381,1,/m/02n8yh,0
36855,0,0,0,36855,1,/m/08cpnf,0
36088,0,0,0,36088,1,/m/07kt8k,0
35948,0,0,0,35948,1,/m/0cdys8,0
35774,0,0,0,35774,1,/m/038rzr,0
35643,0,0,0,35643,1,/m/02kddt,0
35433,0,0,0,35433,1,/m/04q06_,0
35106,0,0,0,35106,1,/m/02ktrs,0
33871,0,0,0,33871,1,/m/026q2s3,0
33287,0,0,0,33287,1,/m/021yw7,0
32257,0,0,0,32257,1,/m/04n4hrk,0
31621,0,0,0,31621,1,/m/0fd6sd,0
31570,0,0,0,31570,1,/m/01yr6t,0
31551,0,0,0,31551,1,/m/0296q2,0
31416,0,0,0,31416,1,/m/024rrk,0
31109,0,0,0,31109,1,/m/0693l,0
30104,0,0,0,30104,1,/m/045m1_,0
29916,0,0,0,29916,1,/m/0fpg8_p,0
29899,1119,0,0,28780,1,/m/06p83,0.037426001
29868,0,0,0,29868,1,/m/02xt6q,0
29664,0,0,0,29664,1,/m/071s9m,0
29533,0,0,0,29533,1,/m/01pgk0,0
29344,0,0,0,29344,1,/m/02qw7l2,0
29024,0,0,0,29024,1,/g/121_43cq,0
28951,0,0,0,28951,1,/m/095xc0,0
28917,0,0,0,28917,1,/m/033r13,0
28558,0,0,0,28558,1,/m/076zf_q,0
28375,0,0,0,28375,1,/m/01gkmx,0
28359,0,0,0,28359,1,/m/01vwd7x,0
28254,0,0,0,28254,1,/m/0dkg24,0
28185,0,0,0,28185,1,/m/0dvmd,0
28074,0,0,0,28074,1,/m/016pns,0
28071,0,0,0,28071,1,/m/0fg6cv,0
27946,0,0,0,27946,1,/m/02qssrm,0
27650,0,0,0,27650,1,/m/03f0wz3,0
27225,0,0,0,27225,1,/m/01338h,0
27079,0,0,0,27079,1,/m/02q0sw8,0
26701,0,0,0,26701,1,/m/03c1yzy,0
26651,0,0,0,26651,1,/m/01p7ws5,0
26540,0,0,0,26540,1,/m/0271y0h,0
26053,0,0,0,26053,1,/m/02qt_x0,0
26015,0,0,0,26015,1,/m/05wm88,0
25896,0,0,0,25896,1,/m/01w61th,0
25305,0,0,0,25305,1,/m/04yfh,0
25229,0,0,0,25229,1,/m/0dq4hn,0
25184,0,0,0,25184,1,/m/0gxrc1,0
25145,0,0,0,25145,1,/m/04jswm8,0
25129,0,0,0,25129,1,/m/05mzqkq,0
24905,0,0,0,24905,1,/g/1233fzz4,0
24598,0,0,0,24598,1,/m/0cc8crh,0
24336,0,0,0,24336,1,/m/064k68_,0
23366,0,0,0,23366,1,/m/01lqf49,0
23252,0,0,0,23252,1,/m/03f0qd7,0
23203,0,0,0,23203,1,/m/0f1lfn,0
23199,0,0,0,23199,1,/m/03m6_z,0
23013,0,0,0,23013,1,/m/064nc_9,0
23000,0,0,0,23000,1,/m/0517_k,0
22960,0,0,0,22960,1,/m/0h97nl2,0
22782,0,0,0,22782,1,/m/02880xr,0
22611,0,0,0,22611,1,/m/07sjb6,0
22602,0,0,0,22602,1,/m/0fpwlg,0
22512,0,0,0,22512,1,/m/0bqsj1s,0
22509,0,0,0,22509,1,/m/086sx_,0
22447,0,0,0,22447,1,/m/035945,0
22405,0,0,0,22405,1,/m/0bgrs7,0
22309,0,0,0,22309,1,/m/07s6t9b,0
22211,0,0,0,22211,1,/m/051wcwn,0
22050,0,0,0,22050,1,/m/04ydywl,0
21897,0,0,0,21897,1,/m/027k3cy,0
21891,0,0,0,21891,1,/m/091d2_,0
21839,0,0,0,21839,1,/m/07tmz3,0
21832,0,0,0,21832,1,/m/09gn6xm,0
21823,0,0,0,21823,1,/m/03zzy4,0
21800,0,0,0,21800,1,/m/0j9k00b,0
21769,0,0,0,21769,1,/m/05n7g4,0
21755,0,0,0,21755,1,/m/0ndskm6,0
21701,0,0,0,21701,1,/m/04z_2fd,0
21691,0,0,0,21691,1,/m/0j9m4vm,0
21605,0,0,0,21605,1,/m/0gc2cnv,0
21568,0,0,0,21568,1,/m/05jgf0,0
21549,0,0,0,21549,1,/m/01l72d6,0
21490,0,0,0,21490,1,/m/02qpz4p,0
21469,0,0,0,21469,1,/m/02vml0q,0
21135,0,0,0,21135,1,/m/0ds2dyh,0
20904,0,0,0,20904,1,/m/04gqdpp,0
20777,0,0,0,20777,1,/m/02vphc8,0
